assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_kills,hero_name,isRadiant,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,ka,kda,kda_ratio,total_advantage
7,0.44144144144144143,0.4124124124124124,0.7317317317317318,0.8638638638638638,13,0.22322322322322322,0.21621621621621623,8,7,7,4,"[0, 0, 1, 1, 4, 4, 4, 4, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1810,652,"[0, 180, 280, 410, 552, 652, 1024, 1265, 1371, 1532, 1810, 1916, 2062, 2282, 2491, 2692, 3000, 3289, 3647, 3952, 4569, 5054, 5373, 6028, 6140, 6508, 6845, 6958, 8393, 9022, 9568, 9906, 10258]",11608,332,121,5,Grimstroke,True,3,8.27904761904762,36,68,13,3,"[0, 0, 0, 0, 3, 3, 10, 10, 10, 11, 13, 13, 14, 15, 15, 17, 17, 21, 27, 27, 31, 31, 36, 37, 37, 38, 43, 43, 45, 54, 64, 68, 68]",B R O C A s,65.0,4,10.806285,0,0,2090,616,"[0, 34, 241, 402, 528, 616, 1103, 1337, 1571, 1861, 2090, 2110, 2246, 2354, 2597, 3049, 4038, 4383, 5099, 5840, 6682, 7130, 7541, 8625, 8767, 8964, 9395, 9475, 12234, 12919, 13575, 13691, 13753]",1.7857142857142858,6.402027027027025,3.1586586586586587,0.581081081081081,2.178178178178178,12,1.5,0.7875000000000001,34.43801053801054
9,0.3668763102725367,0.8480083857442348,0.18238993710691823,0.2431865828092243,30,0.3249475890985325,0.18029350104821804,13,2,2,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2668,1160,"[0, 264, 506, 709, 972, 1160, 1391, 1832, 2044, 2428, 2668, 2899, 3043, 3350, 3728, 4344, 4934, 5560, 5733, 5929, 6299, 6663, 7159, 7709, 7821, 8576, 8763, 8876, 9596, 9790, 10106, 10308, 11287]",18503,0,16,2,Sand King,True,3,8.27904761904762,53,108,30,14,"[0, 2, 6, 8, 12, 14, 16, 21, 23, 30, 30, 33, 34, 36, 41, 50, 63, 74, 74, 74, 81, 84, 84, 88, 88, 97, 99, 99, 100, 100, 105, 105, 108]",D1dos,51.0,3,46.67411,0,0,2162,1029,"[0, 91, 412, 573, 760, 1029, 1191, 1437, 1586, 1933, 2162, 2430, 2681, 2866, 3210, 3986, 4833, 5703, 6276, 6466, 7212, 7940, 9926, 11010, 11056, 11838, 11945, 11997, 12612, 12668, 12892, 12952, 14099]",1.4285714285714284,5.003930817610063,0.4119496855345911,0.40146750524109015,4.864779874213836,11,0.8461538461538461,0.44423076923076926,31.36884143110558
21,0.9489904357066951,0.485653560042508,0.13071200850159406,0.16489361702127658,2,0.9351753453772582,0.24760892667375134,9,1,1,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1977,638,"[0, 180, 280, 410, 510, 638, 1007, 1248, 1595, 1737, 1977, 2083, 2245, 2868, 3105, 3598, 3986, 4107, 4378, 5057, 5486, 5664, 5928, 6192, 6499, 6828, 6940, 7053, 7773, 7967, 8148, 8350, 8932]",21355,0,5,4,Crystal Maiden,True,1,17.178350000000002,39,25,2,2,"[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 9, 9, 11, 11, 11, 12, 15, 16, 16, 16, 18, 19, 19, 20, 20, 21, 21, 24, 24, 25]",,,5,77.37642,0,0,2057,646,"[0, 104, 354, 428, 434, 646, 1126, 1182, 1700, 1960, 2057, 2871, 3310, 4200, 4642, 5478, 6551, 6583, 7633, 8515, 9357, 10232, 10710, 11066, 11208, 11256, 11420, 11718, 15639, 15915, 16162, 16418, 17565]",5.0,15.0,0.15356004250797028,0.7380446333687566,5.92826780021254,25,2.7777777777777777,1.4583333333333333,67.68957304013733
5,0.3125526537489469,0.7818028643639428,0.14658803706823925,0.4337552742616034,59,0.3235046335299073,0.44818871103622576,6,4,3,2,"[0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3774,1290,"[0, 216, 434, 726, 1108, 1290, 1779, 2191, 2605, 3043, 3774, 3880, 4187, 4840, 5539, 5870, 6937, 7430, 8389, 9285, 9391, 10069, 10563, 10949, 11593, 12250, 12730, 12843, 14388, 14870, 15379, 15581, 15973]",19122,0,11,9,Shadow Fiend,True,2,10.946247619047618,76,184,59,17,"[0, 1, 4, 8, 15, 17, 27, 31, 40, 48, 59, 59, 64, 67, 70, 75, 77, 88, 100, 115, 115, 126, 128, 132, 143, 151, 164, 164, 167, 174, 183, 183, 184]",,,2,12.663574,1632,0,4729,1929,"[0, 233, 656, 1054, 1653, 1929, 2660, 3095, 3651, 4163, 4729, 4863, 5355, 6134, 7397, 7923, 9404, 9999, 11049, 11874, 11912, 12865, 13427, 13555, 14511, 15067, 15979, 16189, 20079, 20610, 21010, 21070, 21273]",2.5,3.9853622577927545,0.23294018534119623,1.7409435551811285,4.52653748946925,14,2.3333333333333335,1.225,36.81850939512608
9,0.5202020202020202,0.9777777777777777,0.4131313131313131,0.4499494438827098,42,0.7161616161616161,0.301010101010101,6,11,7,4,"[0, 2, 2, 2, 2, 4, 5, 6, 6, 6, 7, 8, 8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11]",3945,1634,"[0, 302, 650, 992, 1273, 1634, 2275, 2638, 3173, 3557, 3945, 4139, 4602, 5192, 5721, 6108, 6817, 7251, 8286, 8709, 9216, 10059, 10434, 10940, 11488, 12755, 13590, 14138, 15274, 16261, 17039, 17969, 18869]",17685,0,1,9,Anti-Mage,True,1,17.178350000000002,79,297,42,26,"[0, 3, 9, 14, 19, 26, 29, 32, 37, 39, 42, 44, 47, 55, 58, 58, 64, 79, 97, 103, 115, 131, 136, 147, 160, 188, 206, 220, 225, 251, 270, 289, 297]",,,1,17.952333,1972,0,4000,1651,"[0, 104, 354, 843, 1331, 1651, 2131, 2526, 3255, 3657, 4000, 4259, 4755, 5443, 6076, 6493, 7000, 7492, 8846, 9108, 9836, 11159, 11425, 11928, 12644, 14195, 15238, 16076, 18567, 19825, 20911, 22140, 23627]",3.9285714285714284,7.87878787878788,1.5656565656565657,1.005050505050505,7.08080808080808,18,3.0,1.5750000000000002,59.441883782883785
14,0.9378818737270875,0.8523421588594705,0.9765784114052953,0.7380224260958206,48,0.33706720977596744,0.9989816700610998,2,32,14,8,"[0, 0, 2, 5, 6, 8, 8, 10, 11, 11, 14, 15, 19, 22, 26, 29, 31, 31, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",3153,1489,"[0, 300, 580, 891, 1150, 1489, 1715, 2049, 2574, 2837, 3153, 3697, 4129, 4585, 5122, 5561, 6305, 6667, 7313, 8266, 8638, 9558, 11082, 12639, 13232, 13685, 14520, 15417, 16401, 16514, 17036, 17654, 19417]",27500,0,129,9,Mars,False,3,16.72095238095238,63,269,48,23,"[0, 3, 8, 13, 17, 23, 26, 33, 38, 43, 48, 53, 59, 66, 77, 85, 100, 107, 118, 136, 142, 162, 180, 192, 207, 219, 233, 240, 247, 247, 252, 256, 262]",For The Thrills,63.0,1,35.11793,14860,1,3138,1529,"[0, 183, 502, 840, 1140, 1529, 1937, 2265, 2660, 2890, 3138, 3710, 4302, 4971, 5374, 5898, 6798, 7296, 8162, 9211, 9647, 11167, 13108, 14796, 15438, 15971, 17048, 17933, 19022, 19078, 19881, 21008, 23388]",2.2916666666666665,15.0,4.0,4.0,4.94704684317719,23,11.5,2.802521008403361,72.24563983199421
19,0.8698830409356725,0.5511695906432749,0.9517543859649122,0.9912023460410557,58,0.28362573099415206,0.956140350877193,7,13,12,10,"[0, 2, 6, 7, 9, 10, 11, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",3230,1477,"[0, 263, 608, 838, 1129, 1477, 1857, 2250, 2620, 2810, 3230, 3737, 4093, 4721, 5285, 5619, 6299, 6576, 6913, 7390, 7859, 8187, 8682, 9425, 9787, 10468, 11235, 11613, 12204, 12317, 13217, 13911, 15384]",17108,0,20,7,Vengeful Spirit,False,2,14.053752380952382,65,186,58,22,"[0, 2, 8, 11, 16, 22, 29, 39, 47, 49, 58, 64, 72, 79, 79, 81, 90, 96, 103, 106, 116, 123, 123, 129, 135, 147, 163, 163, 167, 167, 175, 180, 182]",Nanjou Sachi,61.0,2,29.170658,4722,1,4735,2179,"[0, 240, 722, 1177, 1663, 2179, 2612, 3264, 3851, 4112, 4735, 5501, 6015, 7253, 7279, 7632, 8372, 8665, 9093, 9793, 10610, 10925, 11629, 13670, 14426, 15701, 16719, 17604, 18693, 18749, 19911, 21129, 23537]",2.916666666666667,14.435307017543858,4.0,4.0,3.1739766081871346,26,3.7142857142857144,0.9051620648259303,65.50723488207699
16,0.6953125,0.2703125,0.8078125,0.8184663536776213,26,0.4734375,0.8890625,7,7,4,2,"[0, 0, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7]",2461,1053,"[0, 214, 512, 738, 875, 1053, 1194, 1393, 1533, 1965, 2461, 2733, 3102, 3271, 3456, 3562, 3834, 4063, 4553, 5707, 6076, 6391, 6814, 7594, 8165, 8419, 8912, 9584, 9948, 10103, 10465, 11677, 13157]",17572,4,128,6,Snapfire,False,1,7.82165,49,124,26,12,"[0, 1, 6, 9, 10, 12, 13, 15, 16, 24, 26, 29, 34, 34, 36, 36, 38, 40, 51, 61, 65, 70, 71, 82, 94, 97, 102, 106, 106, 108, 111, 120, 123]",,,3,15.37694,3740,1,2931,880,"[0, 99, 508, 723, 785, 880, 1077, 1563, 1661, 2196, 2931, 3149, 3703, 3975, 4192, 4342, 4784, 4986, 5651, 6764, 7465, 8605, 9974, 10845, 11659, 12141, 12854, 12990, 13964, 14114, 15054, 16227, 18646]",2.0833333333333335,11.162109375,3.5390625,3.9453125,2.71875,22,3.142857142857143,0.7659063625450179,48.108027243589746
13,0.6466492602262838,0.9521322889469104,0.6710182767624021,0.9128919860627178,11,0.6074847693646649,0.9817232375979112,9,9,7,3,"[0, 1, 1, 1, 2, 3, 3, 5, 6, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1882,765,"[0, 180, 302, 430, 645, 765, 948, 1088, 1233, 1339, 1882, 2042, 2374, 2740, 3069, 3744, 4377, 4483, 4689, 5633, 5786, 5892, 6456, 7523, 7705, 8110, 8725, 9029, 9325, 9720, 10130, 10548, 12070]",15565,9163,30,11,Witch Doctor,False,1,7.82165,38,41,11,7,"[0, 0, 1, 3, 6, 7, 9, 10, 11, 11, 11, 11, 11, 12, 17, 20, 21, 21, 23, 24, 26, 26, 26, 26, 26, 26, 30, 30, 31, 36, 38, 39, 40]",,,4,52.342377,3532,1,2559,1118,"[0, 14, 186, 494, 922, 1118, 1315, 1558, 1656, 1824, 2559, 3515, 4069, 4395, 4860, 5010, 5623, 5817, 6206, 9127, 9232, 9303, 9345, 11142, 11839, 12430, 13249, 13501, 13628, 14429, 15566, 16224, 18643]",2.5,10.249673629242821,2.8550913838120104,4.0,6.537423846823325,24,2.6666666666666665,0.649859943977591,52.25205978442792
16,0.8246589186457807,0.821121778676099,0.6937847397675594,0.7042467138523761,7,0.4517433046993431,0.9610914603335018,4,11,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11]",1400,731,"[0, 180, 431, 531, 631, 731, 849, 955, 1189, 1295, 1400, 1797, 2143, 2249, 2355, 2461, 2705, 3345, 3638, 4031, 4474, 4761, 5457, 5951, 6373, 6760, 7264, 7568, 8172, 8625, 9468, 10307, 11507]",13187,400,26,8,Lion,False,3,16.72095238095238,28,47,7,2,"[0, 0, 2, 2, 2, 2, 2, 2, 7, 7, 7, 7, 8, 8, 8, 8, 8, 13, 17, 18, 19, 21, 23, 23, 23, 27, 28, 28, 28, 35, 43, 45, 47]",Dwayne Barack Johnson,51.0,5,94.79458,2572,1,2102,690,"[0, 0, 180, 358, 541, 690, 975, 1189, 1634, 1854, 2102, 2483, 2992, 3054, 3343, 3505, 3611, 4766, 5155, 6033, 6861, 7103, 9333, 11018, 11734, 12401, 13115, 13251, 14225, 14752, 16153, 17205, 19029]",2.5,13.587354724608387,2.9689236988377967,4.0,5.364325416877211,24,6.0,1.4621848739495797,69.44854803273196
