3,5,,assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
,,,20,0.3074433656957929,0.8414239482200647,0.6796116504854369,0.18446601941747573,28,0.8252427184466019,0.6634304207119741,8,4,1,1,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2874,1110,"[0, 219, 319, 544, 769, 1110, 1489, 1878, 1984, 2509, 2874, 3177, 3562, 3816, 4384, 4715, 5107, 5536, 5790, 6284, 6776, 7095, 7631, 8553, 9167, 10504, 10934, 11516, 12684, 13935]",12006,0,60,Night Stalker,True,5,3,5.114753174603174,58,146,28,12,"[0, 0, 0, 3, 6, 12, 14, 16, 16, 23, 28, 33, 38, 39, 44, 52, 56, 64, 67, 75, 86, 90, 95, 108, 121, 125, 125, 129, 141, 145]",昨天的分数今天的目标,62.0,3,10.864331,3840,1,2556,820,"[0, 0, 71, 317, 515, 820, 1047, 1571, 1585, 2041, 2556, 2766, 3332, 3698, 4343, 4781, 5688, 6121, 6570, 7046, 7515, 7789, 8811, 10681, 11507, 13906, 14619, 14910, 15763, 15995]",4.078947368421052,5.26431708525111,3.4078992016650815,3.033746380257128,4.250378237905215,38.69237145861963,25,3.125,0.6138392857142857
4.0,4.0,4.0,10,0.2929133858267717,0.7826771653543307,0.8488188976377953,0.5763779527559055,7,0.5401574803149606,0.8393700787401575,6,3,2,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",1524,702,"[0, 219, 319, 501, 601, 702, 843, 1020, 1213, 1409, 1524, 1928, 2354, 2874, 3034, 3269, 3998, 4247, 4957, 5405, 5511, 6070, 6843, 7761, 7984, 8668, 8781, 10077, 10896, 11967]",14212,0,101,Skywrath Mage,True,8,3,5.114753174603174,30,93,7,2,"[0, 0, 0, 2, 2, 2, 2, 4, 6, 6, 7, 7, 8, 10, 10, 13, 15, 17, 25, 28, 28, 33, 46, 60, 60, 60, 60, 79, 81, 84]",,,,13.59668,1713,1,1143,436,"[0, 57, 115, 287, 344, 436, 753, 812, 1006, 1121, 1143, 1513, 1923, 2595, 2621, 2920, 3646, 3849, 4888, 5962, 6225, 7178, 7940, 8931, 9017, 10566, 10616, 12045, 12625, 13007]",2.236842105263158,4.810255214344197,4.676953555307769,4.353293815468502,2.6046516115005063,36.61038380998047,18,3.0,0.5892857142857143
,,,11,0.21062271062271062,0.4423076923076923,0.760989010989011,0.6406966086159487,6,0.8031135531135531,0.521978021978022,6,4,4,2,"[0, 0, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1726,680,"[0, 219, 356, 479, 579, 680, 858, 1034, 1175, 1392, 1726, 2026, 2198, 2783, 2981, 3087, 3579, 3748, 4291, 4663, 4903, 5675, 6239, 7087, 7310, 8004, 8578, 9054, 9566, 10592]",9163,1545,30,Witch Doctor,True,6,3,5.114753174603174,34,42,6,2,"[0, 0, 1, 2, 2, 2, 3, 4, 5, 6, 6, 8, 8, 12, 12, 12, 13, 13, 17, 20, 23, 23, 25, 25, 25, 30, 39, 39, 39, 42]",BumpingTacos,55.0,5,57.253387,369,1,1586,668,"[0, 45, 277, 477, 534, 668, 1013, 1090, 1341, 1372, 1586, 1736, 2797, 3207, 3749, 3857, 4526, 4558, 5510, 5889, 6118, 6958, 8501, 9901, 10165, 10534, 11297, 12643, 13139, 13534]",1.973684210526316,2.238671614217289,4.018229405441887,2.10989010989011,2.9139259533438873,28.26023764311179,17,2.8333333333333335,0.5565476190476191
,,,7,0.6655132641291811,0.9769319492502884,0.9215686274509803,0.8154555940023068,50,0.5940023068050749,0.9746251441753172,0,18,16,12,"[0, 2, 5, 8, 10, 12, 12, 12, 13, 15, 16, 17, 17, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]",3180,1430,"[0, 253, 574, 870, 1167, 1430, 1620, 1762, 2150, 2624, 3180, 3678, 4188, 4907, 5612, 6325, 6826, 7784, 8582, 9629, 10069, 10542, 11578, 13293, 14377, 15600, 16928, 17860, 18593, 19847]",20354,0,93,Slark,True,12,1,22.386516666666665,64,256,50,21,"[0, 1, 7, 12, 17, 21, 24, 25, 32, 38, 50, 61, 72, 85, 103, 122, 135, 156, 167, 178, 187, 190, 193, 200, 221, 226, 226, 244, 251, 254]",Arms.內蘭,63.0,1,0.0,19664,1,4134,1729,"[0, 45, 364, 910, 1396, 1729, 1948, 2307, 2984, 3450, 4134, 4622, 5260, 6072, 6892, 7826, 8519, 9680, 10848, 11882, 12373, 13194, 14597, 16390, 17146, 18695, 21727, 22277, 22873, 23105]",2.5,15.603373702422145,5.0,4.994581085355615,3.440485106416881,82.96147163209432,19,19.0,3.732142857142857
,,,28,0.5108225108225108,0.70995670995671,0.1673881673881674,0.35311143270622286,41,0.7965367965367965,0.8845598845598845,2,13,12,4,"[0, 1, 1, 1, 1, 4, 5, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",3099,1578,"[0, 324, 661, 882, 1294, 1578, 1803, 2231, 2525, 2941, 3099, 3452, 3901, 4190, 4838, 5349, 5609, 6052, 6518, 7016, 7369, 7827, 8637, 9197, 9420, 10812, 11666, 12495, 13165, 14289]",26260,14,106,Ember Spirit,True,5,2,13.562019047619048,62,125,41,19,"[0, 3, 9, 12, 14, 19, 22, 31, 36, 41, 41, 44, 54, 55, 65, 74, 74, 80, 86, 86, 92, 93, 101, 101, 101, 105, 112, 113, 117, 124]",Tiny Airlines,62.0,2,80.09687,4666,1,4176,2168,"[0, 262, 841, 1142, 1841, 2168, 2509, 3125, 3505, 3980, 4176, 4709, 5470, 5893, 6531, 7078, 7747, 8379, 9458, 10310, 10821, 11618, 12636, 13926, 14088, 16438, 19526, 20814, 21632, 21864]",5.0,11.619915370461046,0.33694083694083693,4.692217359116456,3.613846484868609,59.730675536932296,33,16.5,3.241071428571429
,,,5,0.051070840197693576,0.9044481054365733,0.19934102141680396,0.4521452145214521,49,0.06919275123558484,0.11367380560131796,8,7,6,4,"[0, 1, 2, 2, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",3421,1574,"[0, 254, 545, 861, 1209, 1574, 1913, 2300, 2681, 2986, 3421, 3645, 4161, 4416, 4769, 5793, 6098, 6513, 6696, 7033, 7363, 7656, 8198, 8310, 8677, 8986, 9723, 9835, 9989, 10101]",8586,230,23,Kunkka,False,3,2,11.437980952380952,69,130,49,26,"[0, 3, 8, 14, 18, 26, 33, 42, 42, 47, 49, 51, 61, 63, 70, 85, 88, 95, 97, 100, 107, 109, 121, 121, 124, 129, 129, 129, 130, 130]",Nanjou Sachi,61.0,2,24.060902,21,0,3736,1787,"[0, 268, 693, 1076, 1327, 1787, 2382, 2900, 3073, 3474, 3736, 3921, 4530, 4703, 5036, 6454, 6559, 7162, 7256, 7851, 8524, 8776, 9468, 9512, 10439, 10700, 11848, 11887, 11887, 11910]",0.8333333333333333,0.0,0.8647759756142823,0.42417577507723014,2.0,23.93887082523969,8,1.0,0.6666666666666666
,,,6,0.12779017857142858,0.96875,0.09430803571428571,0.09116331096196868,30,0.7779017857142857,0.17299107142857142,10,4,4,4,"[0, 0, 1, 1, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3292,1423,"[0, 232, 590, 809, 1068, 1423, 1648, 2233, 2502, 3109, 3292, 3778, 4346, 4660, 5253, 5689, 5992, 6565, 7376, 7924, 8544, 9793, 9971, 10083, 10613, 10725, 11209, 11321, 11434, 11546]",11885,0,48,Luna,False,6,3,19.885246825396827,66,179,30,16,"[0, 2, 8, 11, 14, 16, 16, 18, 20, 30, 30, 41, 56, 61, 77, 85, 90, 101, 121, 135, 154, 177, 177, 177, 177, 177, 179, 179, 179, 179]",,,1,31.69173,754,0,3251,1646,"[0, 147, 614, 890, 1225, 1646, 1656, 2082, 2405, 3151, 3251, 3792, 4299, 4494, 5090, 5513, 5697, 6285, 7565, 8381, 9093, 10576, 10618, 10662, 11275, 11275, 12423, 12529, 12529, 12552]",2.5,0.7192167160179099,0.10548840427396691,0.8690552687816311,4.694754464285714,44.267325659624696,12,1.2,0.7999999999999999
,,,7,0.21601941747572814,0.5825242718446602,0.33495145631067963,0.6909975669099757,48,0.3786407766990291,0.220873786407767,5,12,11,5,"[0, 1, 1, 3, 3, 5, 9, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",3283,1140,"[0, 139, 506, 753, 967, 1140, 1678, 2139, 2530, 2853, 3283, 3855, 4138, 4693, 5092, 5548, 5959, 6655, 6877, 7396, 7812, 8108, 8793, 8905, 9103, 9215, 9447, 9599, 9712, 9824]",13958,1866,108,Abyssal Underlord,False,2,1,2.6134833333333347,66,122,48,15,"[0, 0, 7, 11, 13, 15, 25, 32, 37, 43, 48, 54, 57, 68, 73, 80, 84, 95, 98, 101, 108, 110, 121, 121, 121, 121, 121, 122, 122, 122]",,,3,79.34538,644,0,3881,1572,"[0, 56, 565, 950, 1303, 1572, 1935, 2349, 2751, 3296, 3881, 4477, 4747, 5522, 6206, 6730, 7561, 8846, 9150, 9988, 10584, 10765, 11464, 11508, 11554, 11554, 11616, 11710, 11710, 11733]",1.25,3.476380431777271,1.8818542373183496,1.2281756311255978,1.9203412882130084,19.03113064887317,9,1.8,1.2
,,,12,0.3071236559139785,0.6169354838709677,0.043682795698924734,0.5060483870967742,7,0.489247311827957,0.15591397849462366,8,2,2,1,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1723,708,"[0, 159, 277, 400, 540, 708, 971, 1186, 1415, 1521, 1723, 1882, 2048, 2291, 2698, 2958, 3223, 3359, 3465, 3571, 3777, 3973, 4471, 4583, 4781, 4893, 5233, 5506, 5619, 5731]",12655,0,123,Hoodwink,False,1,3,19.885246825396827,34,21,7,4,"[0, 0, 1, 2, 2, 4, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 9, 9, 9, 9, 9, 9, 14, 14, 14, 14, 16, 21, 21, 21]",,,5,46.555004,0,0,2034,784,"[0, 61, 169, 332, 484, 784, 1392, 1712, 1866, 1882, 2034, 2294, 3016, 3040, 3342, 3370, 3725, 3883, 3977, 4013, 4614, 4654, 5159, 5203, 5816, 5816, 6378, 6617, 6617, 6640]",2.916666666666667,6.323387882972595,0.0,0.7409770717770229,2.6024160089563013,49.95183762426064,13,1.625,1.0833333333333333
,,,3,0.8576864535768646,0.0684931506849315,0.5882800608828006,0.6598016781083142,10,0.708523592085236,0.1933028919330289,5,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2493,1283,"[0, 422, 668, 811, 1182, 1283, 1414, 1565, 1868, 2009, 2493, 2637, 3246, 3753, 3866, 4320, 4853, 5551, 5764, 5870, 6309, 6505, 6683, 6795, 7477, 7779, 8482, 8670, 8783, 8895]",22128,964,112,Winter Wyvern,False,9,1,2.6134833333333347,50,62,10,2,"[0, 0, 0, 1, 2, 2, 3, 3, 7, 8, 10, 11, 21, 23, 24, 31, 34, 39, 42, 42, 43, 43, 44, 44, 56, 59, 60, 62, 62, 62]",Ginger,61.0,4,31.292358,0,0,2492,917,"[0, 61, 175, 387, 881, 917, 1303, 1477, 1709, 1848, 2492, 2783, 3523, 4355, 4690, 5268, 5944, 6743, 6945, 6981, 7489, 8364, 8434, 8478, 9458, 9776, 10924, 11000, 11088, 11088]",2.5,19.20662100456621,3.441400304414003,1.0213939225650623,2.5213089802130897,48.16031930014107,12,2.4,1.5999999999999999
