assists,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,ka,kda,kda_ratio
24,0.9110576923076923,0.6971153846153846,0.9350961538461539,0.8158844765342961,56,0.9447115384615384,0.8617788461538461,3,12,11,5,"[0, 0, 2, 4, 5, 5, 9, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",3694,1603,"[0, 256, 476, 887, 1270, 1603, 1993, 2269, 2761, 3143, 3694, 4076, 4603, 5061, 5651, 6453, 6595, 7281, 8216, 8867, 9195, 10190, 11360, 12537, 13182, 13946, 14699, 15775, 16436, 16758, 16870, 17844, 18790, 19429, 19632, 20855, 21367, 22229, 23402, 24642, 25975, 27163, 28189, 29110, 29345]",76521,0,22,Zeus,True,12,2,11.884845238095238,74,338,56,25,"[0, 2, 5, 13, 19, 25, 32, 35, 36, 44, 56, 64, 71, 77, 89, 95, 96, 108, 113, 125, 129, 141, 155, 164, 175, 177, 189, 196, 205, 207, 207, 213, 228, 233, 233, 234, 242, 250, 279, 291, 299, 311, 319, 326, 328]",Nani?,62.0,2,33.002247,1346,1,4865,2017,"[0, 256, 623, 1129, 1558, 2017, 2564, 3030, 3752, 4244, 4865, 5533, 6085, 6726, 7280, 8203, 8385, 9198, 10058, 10690, 10952, 12088, 13349, 15146, 15682, 16902, 17368, 19289, 19548, 19799, 19857, 21159, 22233, 23629, 23695, 26638, 27072, 29233, 30650, 31517, 32158, 32780, 35439, 36434, 36754]",3.125,20.0,5.0,4.47091378396795,4.114408327185264,74.7617959219207,36,12.0,1.8278145695364238
29,0.7740058195926285,0.9806013579049466,0.3617846750727449,0.7407766990291262,44,0.6013579049466538,0.5945683802133851,6,22,13,6,"[0, 1, 1, 2, 4, 6, 8, 9, 10, 12, 13, 17, 17, 18, 18, 18, 18, 18, 18, 20, 20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 22, 22, 22, 22]",3143,1295,"[0, 266, 448, 777, 1074, 1295, 1593, 1858, 2390, 2691, 3143, 3535, 3897, 4309, 4513, 4957, 5232, 5401, 5791, 6483, 6795, 7339, 8039, 8732, 8905, 9856, 10419, 10798, 11575, 12200, 12482, 13364, 13846, 14926, 15583, 16211, 17477, 18025, 18247, 19500, 21351, 22133, 22960, 23322, 23895]",49432,0,67,Spectre,True,7,1,13.950044047619048,63,274,44,17,"[0, 2, 4, 10, 14, 17, 22, 25, 31, 37, 44, 51, 58, 65, 68, 72, 78, 78, 84, 89, 95, 102, 111, 118, 123, 140, 146, 146, 158, 169, 172, 181, 191, 200, 210, 211, 234, 234, 234, 240, 247, 255, 262, 262, 272]",Nanjou Sachi,61.0,1,0.0,4857,1,2819,1295,"[0, 118, 311, 668, 930, 1295, 1577, 1797, 2328, 2556, 2819, 3122, 3345, 3694, 3797, 4723, 5004, 5036, 5324, 6144, 6434, 7105, 8037, 9661, 9814, 11172, 12702, 12754, 14169, 14859, 14945, 17103, 17589, 20040, 20803, 23694, 25515, 26532, 26606, 30075, 31370, 31930, 32399, 32483, 33022]",3.125,16.102134051017938,1.3089233753637246,2.4728419010669254,3.560541011457094,62.33766828696113,36,6.0,0.9139072847682119
16,0.8576051779935275,0.8414239482200647,0.9255663430420712,0.26537216828478966,32,0.6019417475728155,1.0,2,16,9,6,"[0, 2, 3, 4, 6, 6, 6, 6, 7, 8, 9, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 14, 14, 14, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16]",2533,1006,"[0, 228, 410, 581, 855, 1006, 1288, 1556, 1930, 2157, 2533, 2972, 3383, 3866, 4022, 4473, 4845, 5388, 5860, 6458, 6759, 7122, 7459, 8444, 8903, 9311, 9960, 11026, 11863, 12622, 13124, 15124, 15730, 16401, 16771, 18123, 18916, 19899, 21401, 22817, 24732, 26133, 26690, 27052, 27420]",30165,0,60,Night Stalker,True,16,3,8.81334880952381,51,286,32,10,"[0, 1, 3, 5, 9, 10, 15, 18, 24, 27, 32, 39, 46, 48, 49, 55, 61, 73, 74, 86, 90, 97, 102, 106, 117, 123, 125, 137, 142, 153, 168, 182, 192, 193, 196, 199, 219, 227, 239, 248, 254, 266, 274, 274, 284]",,,3,7.454084,18525,1,2782,970,"[0, 90, 358, 658, 800, 970, 1202, 1394, 1919, 2288, 2782, 3311, 3728, 4243, 4594, 5118, 5552, 6112, 6858, 7549, 8400, 8881, 9118, 10651, 11159, 11515, 13048, 16468, 17636, 18475, 19341, 21682, 22188, 24343, 24963, 29135, 30133, 32377, 35209, 39126, 40421, 41366, 41856, 42353, 42759]",2.5,18.714614001046034,5.0,5.0,3.219025665290717,66.53382842440087,32,16.0,2.437086092715232
19,0.6376288659793814,0.5917525773195876,0.6237113402061856,0.18069179143004646,2,0.7360824742268042,0.7329896907216494,7,3,2,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1365,699,"[0, 180, 314, 414, 554, 699, 813, 964, 1108, 1214, 1365, 1471, 1613, 1999, 2144, 2375, 2576, 2745, 3181, 3447, 3742, 3922, 4217, 4539, 4850, 5148, 5491, 5987, 6261, 6757, 6906, 7478, 7761, 7924, 8127, 8239, 8532, 9194, 9764, 11057, 12241, 12839, 13193, 13555, 13766]",14647,0,26,Lion,True,3,1,13.950044047619048,27,58,2,2,"[0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 4, 4, 5, 5, 7, 7, 7, 8, 12, 12, 12, 12, 16, 20, 21, 28, 28, 33, 34, 34, 39, 39, 39, 39, 41, 42, 48, 52, 54, 54, 57, 57, 58]",,,5,157.62148,798,1,2242,815,"[0, 118, 311, 371, 633, 815, 1057, 1277, 1808, 2036, 2242, 2468, 2887, 3320, 3552, 3580, 3992, 4123, 5096, 5429, 6280, 6808, 7383, 7453, 8586, 8967, 9643, 10242, 10444, 11130, 11459, 13611, 14929, 15596, 15902, 15970, 16390, 18528, 19029, 21702, 22997, 23532, 23917, 24414, 24734]",0.9375,11.840354250603967,2.8948118178717777,3.504995118226474,2.9534616576838713,55.509487526161756,22,3.142857142857143,0.47871333964049195
20,0.30392156862745096,0.6386554621848739,0.7198879551820728,0.14866760168302945,2,0.5084033613445378,0.7955182072829131,5,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1408,621,"[0, 180, 280, 380, 520, 621, 726, 1001, 1151, 1257, 1408, 1657, 1763, 1979, 2085, 2360, 2529, 2698, 2925, 3191, 3975, 4123, 4414, 4784, 5080, 5411, 5959, 6234, 7023, 7226, 7399, 8066, 8570, 9153, 9356, 9782, 10039, 10366, 10769, 11504, 12685, 13524, 13789, 14151, 14374]",16213,0,88,Nyx Assassin,True,5,3,8.81334880952381,28,71,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 6, 6, 6, 6, 11, 12, 14, 15, 19, 22, 24, 24, 30, 30, 31, 36, 46, 46, 46, 46, 49, 51, 56, 56, 58, 63, 63, 63, 68]",,,4,113.98358,885,1,1286,378,"[0, 90, 176, 256, 370, 378, 576, 910, 993, 1099, 1286, 2149, 2318, 2739, 2788, 2816, 2946, 3079, 3333, 3642, 4550, 5064, 5714, 7145, 7500, 7927, 8789, 8841, 10034, 10378, 10746, 13240, 14098, 15437, 15617, 16743, 17532, 19676, 20215, 23528, 24972, 25732, 25978, 26062, 26481]",1.40625,3.8235294117647047,3.6161364301909322,3.9739589924359513,1.990951911517363,36.34488546989655,25,5.0,0.7615894039735099
7,0.12334801762114538,1.0,0.2922173274596182,0.342143906020558,28,0.9148311306901615,0.5844346549192364,7,3,3,3,"[0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2403,1220,"[0, 228, 435, 705, 919, 1220, 1554, 1776, 1917, 2129, 2403, 2689, 3032, 3359, 3818, 4404, 4714, 4950, 5056, 5337, 5778, 6411, 6804, 6916, 7454, 8062, 8321, 8949, 9450, 9996, 10799, 11268, 11455, 11937, 12416, 12528, 12640, 13210, 13322, 13680, 13792, 13912, 14032, 14259, 14379]",13587,3016,32,Riki,False,2,1,11.049955952380952,48,138,28,15,"[0, 1, 4, 8, 10, 15, 20, 22, 23, 25, 28, 31, 37, 41, 49, 52, 53, 54, 54, 56, 62, 73, 78, 78, 87, 94, 97, 104, 110, 111, 122, 128, 129, 131, 131, 131, 131, 133, 133, 138, 138, 138, 138, 138, 138]",,,3,69.46825,2332,0,2911,1342,"[0, 48, 306, 769, 962, 1342, 1708, 1987, 2142, 2484, 2911, 3312, 3918, 4344, 4843, 5594, 6276, 6763, 6831, 7029, 7869, 8793, 9346, 9390, 10207, 10918, 11253, 13514, 14111, 15135, 16228, 16718, 17217, 19233, 21679, 21800, 21870, 24305, 24379, 24570, 24570, 24570, 24570, 24631, 24631]",0.7142857142857142,0.4377753303964757,0.961086637298091,3.422173274596182,5.0,33.208118321472945,9,1.2857142857142858,0.8198757763975156
7,0.5887276785714286,0.96875,0.7332589285714286,0.5441834451901566,53,0.14285714285714285,0.3783482142857143,4,18,18,11,"[0, 2, 4, 8, 10, 11, 15, 16, 17, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]",3607,1337,"[0, 180, 534, 751, 1015, 1337, 1730, 2433, 2873, 3172, 3607, 4061, 5175, 5759, 6605, 7366, 8044, 8920, 9708, 10493, 11282, 12524, 13334, 13480, 14021, 14720, 15620, 16208, 16664, 18081, 18496, 18698, 18810, 20933, 22144, 22711, 23393, 24493, 25577, 26027, 26139, 26666, 28834, 30113, 30885]",36855,0,48,Luna,False,12,3,16.18665119047619,72,507,53,18,"[0, 0, 6, 9, 12, 18, 25, 30, 39, 44, 53, 63, 83, 98, 114, 135, 144, 159, 176, 199, 221, 249, 270, 270, 278, 292, 307, 307, 315, 334, 337, 337, 337, 358, 363, 375, 385, 389, 410, 415, 415, 424, 453, 482, 501]",MOTORTRENDS #1 TRUCK OF THE YEAR,53.0,1,22.459557,4152,0,3359,1168,"[0, 28, 535, 707, 929, 1168, 1532, 2066, 2540, 3015, 3359, 3915, 4880, 5653, 6684, 7571, 8895, 9456, 10549, 11710, 12854, 14610, 15360, 15728, 16027, 16743, 17901, 19396, 19790, 22757, 23253, 23313, 23432, 26320, 28827, 29353, 29804, 32278, 33514, 33595, 33595, 34053, 36877, 37381, 37806]",4.285714285714286,12.688329279081977,3.812891202858215,1.9726607410158343,2.107142857142857,63.159060855829786,19,4.75,3.028985507246377
11,0.6325581395348837,0.5348837209302325,0.7348837209302326,0.7023255813953488,7,0.5302325581395348,0.29767441860465116,13,13,5,3,"[0, 0, 0, 0, 2, 3, 3, 4, 5, 5, 5, 7, 8, 10, 10, 10, 12, 12, 12, 12, 12, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",1558,680,"[0, 180, 280, 380, 520, 680, 785, 986, 1212, 1318, 1558, 1935, 2169, 2500, 2667, 2986, 3392, 3833, 3939, 4077, 4525, 4711, 5033, 5259, 5452, 5982, 6220, 6493, 6723, 7322, 7649, 7948, 8239, 8501, 8784, 8976, 9168, 9702, 9894, 10186, 10378, 10578, 11389, 11762, 12035]",14080,0,3,Bane,False,1,3,16.18665119047619,31,52,7,1,"[0, 0, 0, 0, 0, 1, 1, 1, 5, 5, 7, 12, 15, 20, 20, 20, 26, 32, 32, 32, 32, 32, 33, 33, 33, 35, 35, 35, 38, 38, 38, 39, 45, 45, 45, 45, 45, 45, 45, 46, 46, 46, 48, 50, 52]",diet weed,64.0,5,103.19441,35,0,2104,725,"[0, 28, 100, 287, 390, 725, 1089, 1421, 1646, 1784, 2104, 2515, 3121, 3469, 3975, 4549, 5103, 5763, 5996, 6032, 6334, 7209, 7555, 7866, 8138, 8247, 8382, 8434, 8784, 11356, 11852, 11943, 13262, 13308, 13308, 13457, 13694, 13781, 14163, 14187, 14272, 15413, 18031, 18152, 18365]",1.7857142857142858,14.05803118418995,3.825077145549245,1.3676072734078606,2.13912224340835,60.55723588114751,12,0.9230769230769231,0.5886287625418061
10,0.7833333333333333,0.7236111111111111,0.8069444444444445,0.8875,73,0.8958333333333334,0.20277777777777778,9,13,5,5,"[0, 1, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 8, 10, 10, 10, 10, 10, 10, 10, 10, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",3549,1669,"[0, 303, 640, 857, 1266, 1669, 1879, 2295, 2546, 3048, 3549, 4003, 4401, 4970, 5446, 6079, 7013, 7737, 8059, 8607, 8918, 9366, 10083, 10437, 10997, 11683, 12118, 12311, 12906, 13761, 14172, 14374, 15164, 15721, 16183, 16337, 16449, 16682, 16794, 16906, 17018, 17138, 18779, 19691, 20582]",27245,0,97,Magnus,False,5,2,13.115154761904762,71,334,73,29,"[0, 3, 9, 12, 20, 29, 33, 41, 45, 60, 73, 83, 84, 95, 105, 117, 126, 143, 148, 158, 164, 171, 186, 186, 198, 211, 223, 223, 237, 240, 245, 245, 259, 263, 269, 269, 269, 270, 270, 270, 270, 270, 285, 303, 324]",Gar,62.0,2,82.47064,68,0,4610,2225,"[0, 297, 784, 1084, 1644, 2225, 2429, 3079, 3390, 4024, 4610, 5059, 5802, 6708, 7316, 7820, 8928, 9563, 9964, 10654, 11170, 11647, 12619, 12930, 13589, 14292, 15153, 15262, 16221, 18793, 19382, 19442, 20297, 21352, 21700, 21877, 21947, 22216, 22290, 22481, 22481, 22703, 25339, 25671, 26089]",2.8571428571428568,17.8125,4.365532571905834,0.6558824672063103,4.206531569486574,66.17345265791744,15,1.6666666666666667,1.0628019323671498
11,0.4057971014492754,0.5159420289855072,0.8057971014492754,0.6842105263157895,8,0.12753623188405797,0.26666666666666666,11,1,1,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1581,723,"[0, 180, 280, 415, 622, 723, 828, 979, 1170, 1356, 1581, 1907, 2341, 2501, 2607, 3094, 3280, 3679, 3785, 3966, 4371, 4656, 4834, 4980, 5142, 5458, 5802, 6429, 6739, 7577, 8134, 8336, 8900, 9082, 9410, 9750, 9902, 10460, 11371, 11483, 11595, 11755, 12536, 12763, 12883]",15859,329,79,Shadow Demon,False,3,1,11.049955952380952,31,97,8,2,"[0, 0, 0, 1, 2, 2, 2, 2, 4, 6, 8, 12, 13, 13, 13, 13, 13, 19, 19, 21, 27, 31, 31, 31, 32, 34, 38, 41, 47, 47, 51, 51, 60, 60, 66, 71, 72, 78, 94, 94, 94, 95, 97, 97, 97]",+30,62.0,4,27.245302,19,0,1631,565,"[0, 48, 78, 312, 453, 565, 656, 724, 1102, 1421, 1631, 2703, 3446, 3470, 3714, 3935, 4021, 4442, 4790, 5196, 5754, 6078, 6120, 6488, 6856, 7040, 7791, 8429, 8879, 9938, 10425, 10485, 11464, 12219, 12375, 12743, 12980, 13536, 14068, 14068, 14068, 14129, 16072, 16072, 16072]",2.5,6.97174874401469,4.356927499442066,1.135049133872977,0.5887681159420289,40.926845301004164,14,1.2727272727272727,0.8115942028985508
