3,5,,assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
4.0,4.0,4.0,15,343,0.3969410050983248,0.7771303714493809,0.3386744355426074,0.3634377276037873,14,0.5914056809905317,0.3379461034231609,469,9,15,9,5,"[0, 0, 2, 3, 3, 5, 5, 5, 6, 8, 9, 11, 11, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 15, 15]",2460,1005,"[0, 219, 346, 482, 582, 1005, 1437, 1588, 1721, 1959, 2460, 2722, 2959, 3446, 3591, 4022, 4306, 4642, 5124, 5356, 5650, 5795, 6735, 7236, 7689, 8205, 8395, 8752, 8864, 9242, 9574, 9686, 9953, 10234, 11016, 11952, 12094, 12372, 13544, 13978, 14454, 14738, 14858, 14977]",21929,0,21,Windranger,True,8,3,11.864013095238095,49,127,14,5,"[0, 0, 0, 1, 1, 5, 7, 7, 7, 10, 14, 18, 21, 29, 30, 37, 40, 44, 47, 50, 52, 53, 53, 55, 69, 77, 79, 84, 84, 87, 90, 90, 93, 95, 103, 108, 109, 110, 111, 114, 123, 127, 127, 127]",For The Thrills,63.0,,65.46749,719,0,2627,1229,"[0, 118, 377, 645, 825, 1229, 1565, 1689, 2009, 2270, 2627, 2945, 3215, 3690, 3734, 4196, 4459, 5101, 6170, 6399, 7048, 7474, 9188, 9603, 10257, 10828, 11371, 11854, 11854, 12044, 12427, 12427, 12639, 12727, 14018, 16174, 16174, 16373, 19940, 20096, 20287, 20510, 20566, 20602]",11.544460338162217,9.592733775837598,3.8755877737564925,1.7171122186240675,3.3671641583162844,41.96107135993475,Windranger_3,2.78,408.0,511.0,23,2.5555555555555554,0.2,1.0222222222222221,0.18545454545454546,0.1693827160493827,0.19563552833078102,0.1894184168012924
,,,13,283,0.2797927461139896,0.4455958549222797,0.3082901554404145,0.6077922077922078,7,0.2538860103626943,0.2538860103626943,406,13,2,2,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1821,756,"[0, 219, 319, 468, 592, 756, 1106, 1257, 1518, 1624, 1821, 1926, 2161, 2321, 3099, 3452, 3720, 3898, 4258, 4452, 4643, 5021, 5360, 5918, 6291, 6475, 6788, 7045, 7157, 7545, 7727, 7839, 7952, 8154, 8879, 9642, 9995, 10206, 11156, 11503, 11973, 12092, 12212, 12331]",13329,0,79,Shadow Demon,True,5,3,11.864013095238095,36,49,7,5,"[0, 0, 0, 2, 3, 5, 5, 5, 6, 6, 7, 7, 10, 10, 10, 12, 14, 14, 15, 15, 15, 16, 16, 24, 29, 29, 31, 34, 34, 38, 38, 38, 38, 39, 39, 43, 44, 44, 46, 46, 49, 49, 49, 49]",Pog,71.0,5,33.49646,24,0,1758,783,"[0, 28, 221, 405, 619, 783, 1035, 1131, 1439, 1521, 1758, 1874, 2985, 3203, 3882, 4103, 4284, 4631, 5520, 5556, 6006, 6462, 7731, 8719, 9214, 9331, 9592, 9820, 9820, 10055, 10435, 10435, 11711, 11821, 13103, 15457, 15718, 15718, 16300, 16300, 16680, 16680, 17785, 17818]",7.2368421052631575,5.9318506825771244,5.336696545996656,1.0866615206705683,0.8167098445595854,32.27277379430518,Shadow Demon_3,2.16,307.0,411.0,18,1.3846153846153846,0.15539568345323743,0.5538461538461539,0.13954545454545456,0.1397530864197531,0.15735068912710568,0.16397415185783523
,,,11,548,0.2827225130890052,0.9685863874345548,0.4572425828970332,0.5751748251748252,57,0.9546247818499128,0.406631762652705,527,7,13,13,8,"[0, 2, 3, 4, 7, 8, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",3711,1641,"[0, 293, 634, 961, 1345, 1641, 1864, 2331, 2652, 3242, 3711, 4135, 4423, 4982, 5458, 6106, 6708, 7205, 7951, 8612, 8783, 9551, 10611, 11269, 12100, 12708, 13568, 13680, 14177, 14946, 15348, 15460, 15812, 16367, 17071, 17930, 18206, 19190, 20209, 21202, 21575, 22107, 22855, 23775]",19461,0,109,Terrorblade,True,3,1,20.579841666666667,75,412,57,22,"[0, 2, 4, 10, 17, 22, 25, 33, 40, 46, 57, 66, 70, 82, 90, 103, 116, 132, 147, 165, 165, 179, 197, 209, 225, 236, 254, 254, 265, 283, 291, 291, 298, 309, 314, 314, 317, 336, 340, 353, 360, 372, 385, 407]",Nanjou Sachi,62.0,1,0.0,4526,0,4169,1420,"[0, 118, 301, 569, 1001, 1420, 1675, 2236, 2721, 3509, 4169, 4675, 4974, 5504, 6010, 6476, 6915, 7387, 8041, 8534, 8904, 9471, 10938, 11736, 12281, 12598, 13535, 13666, 14147, 14925, 15314, 15314, 15669, 15785, 17026, 18238, 18362, 18709, 22439, 22583, 22773, 22830, 23123, 23123]",6.898496240601505,6.023405900546361,6.6540084749905795,2.2322546628456483,5.0,47.38800694565076,Terrorblade_1,2.8,566.0,572.0,14,2.0,0.2014388489208633,0.8,0.25727272727272726,0.2706172839506173,0.21898928024502298,0.212843295638126
,,,13,374,0.1109215017064846,0.7901023890784983,0.2457337883959044,0.3025641025641025,34,0.2662116040955631,0.2320819112627986,432,6,8,5,4,"[0, 1, 2, 2, 2, 4, 4, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",3158,1158,"[0, 219, 393, 727, 987, 1158, 1510, 1959, 2496, 2937, 3158, 3483, 3752, 4104, 4343, 4757, 5020, 5526, 6236, 6794, 7343, 7524, 8000, 8384, 8650, 9114, 9290, 9402, 9514, 9716, 10146, 10258, 10946, 11303, 12111, 12560, 12784, 12995, 14716, 15126, 15388, 16104, 16224, 16343]",17430,10263,36,Necrophos,True,8,3,11.864013095238095,63,161,34,13,"[0, 0, 2, 8, 12, 13, 17, 24, 30, 32, 34, 39, 43, 47, 47, 50, 53, 58, 62, 72, 77, 80, 80, 86, 92, 99, 102, 102, 102, 102, 102, 102, 115, 120, 127, 137, 142, 142, 147, 150, 151, 161, 161, 161]",AlaKazam,34.0,3,9.757105,365,0,3070,1123,"[0, 56, 283, 638, 862, 1123, 1459, 1823, 2171, 2833, 3070, 3442, 3846, 4254, 4927, 5294, 5588, 6096, 6954, 7673, 8292, 8654, 9130, 9753, 9985, 10482, 10586, 10643, 10643, 10643, 10987, 10987, 11501, 11720, 13733, 13995, 14217, 14268, 17928, 18044, 18284, 18943, 18943, 18977]",14.354229068606475,0.6546242948425935,3.7653784568865887,0.9231307774213504,1.862185311794105,33.42356100478921,Necrophos_3,2.87,413.0,498.0,21,3.5,0.2064748201438849,1.4,0.18772727272727271,0.18469135802469136,0.19065849923430322,0.17447495961227788
,,,12,477,0.3042912873862158,0.8010403120936281,0.5851755526657998,0.81877444589309,69,0.4096228868660598,0.4044213263979194,642,3,6,6,6,"[0, 1, 3, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",3655,1526,"[0, 326, 542, 810, 1112, 1526, 2011, 2480, 2878, 3334, 3655, 3910, 4420, 4833, 5673, 5934, 6345, 6753, 7666, 8304, 8873, 9289, 9861, 10345, 10641, 11335, 12123, 12711, 13004, 13456, 13638, 13750, 14125, 14603, 15566, 16421, 16810, 17320, 18708, 19288, 19812, 20451, 20571, 20690]",24610,0,17,Storm Spirit,True,7,2,15.067566666666668,73,289,69,24,"[0, 3, 6, 10, 15, 24, 34, 44, 54, 64, 69, 74, 85, 92, 92, 93, 100, 109, 119, 130, 133, 140, 147, 154, 158, 174, 195, 207, 211, 216, 216, 216, 221, 226, 229, 231, 243, 250, 256, 263, 270, 285, 285, 285]",For The Pills,61.0,2,40.06991,817,0,5005,2253,"[0, 262, 744, 1228, 1657, 2253, 2777, 3306, 3870, 4682, 5005, 5476, 6180, 6620, 8512, 8693, 8977, 9626, 10391, 10838, 11861, 12212, 13198, 13940, 14588, 15415, 16538, 17286, 17866, 18197, 18547, 18547, 18876, 19256, 20547, 22706, 23177, 23381, 27061, 27194, 27491, 28055, 28055, 28124]",21.666948103118315,6.697430097334194,8.060556268827355,2.2156763909347568,2.547912465109852,56.25608999199114,Storm Spirit_2,3.29,506.0,620.0,19,6.333333333333333,0.2366906474820144,2.533333333333333,0.23,0.23555555555555555,0.23736600306278713,0.2592891760904685
,,,23,324,0.3088235294117647,0.6844919786096256,0.3342245989304813,0.2674731182795699,3,0.3368983957219251,0.8462566844919787,581,7,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1685,864,"[0, 151, 430, 530, 714, 864, 988, 1094, 1200, 1370, 1685, 2149, 2255, 2415, 2925, 3031, 3410, 3578, 3904, 4168, 4789, 4956, 5658, 5955, 6235, 6987, 7209, 7449, 7824, 8522, 8914, 9390, 9890, 10102, 10304, 10528, 10970, 11426, 11752, 11864, 12059, 12453, 12573, 13730]",13898,240,71,Spirit Breaker,False,6,1,4.420158333333333,34,57,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 3, 3, 3, 3, 8, 9, 12, 12, 12, 12, 12, 15, 15, 26, 26, 26, 26, 32, 35, 35, 37, 40, 40, 42, 43, 48, 48, 48, 50, 50, 50, 57]",Shenjun,65.0,4,124.16021,1965,1,2216,1381,"[0, 67, 628, 820, 1086, 1381, 1716, 1731, 1835, 1895, 2216, 3759, 3897, 4209, 4780, 4836, 5338, 5476, 5762, 6159, 6910, 6950, 8371, 8880, 8926, 9862, 9936, 10626, 11216, 12148, 12474, 13009, 13718, 14275, 14341, 14624, 16681, 17600, 18155, 18231, 18644, 20581, 20783, 24529]",16.205717581150108,5.833757165249933,5.91699511179889,4.49551164988113,1.8654083645740218,38.737548205987416,Spirit Breaker_1,2.89,341.0,440.0,29,4.142857142857143,0.19903581267217632,0.8796477495107632,0.16505324298160698,0.144,0.17649418371440032,0.1882696046662346
,,,16,696,0.5331010452961672,0.9221835075493612,0.6817653890824622,0.8041958041958042,61,0.1556329849012775,0.8792102206736353,760,6,10,9,5,"[0, 3, 5, 5, 5, 5, 5, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",3277,1164,"[0, 230, 438, 691, 926, 1164, 1465, 1819, 2281, 2657, 3277, 3843, 4253, 4806, 5302, 5785, 6536, 6952, 7148, 8074, 9053, 9734, 9972, 10773, 11367, 12307, 13314, 14507, 15514, 16227, 17524, 18623, 19870, 20783, 21493, 21786, 22893, 23710, 24504, 24688, 24851, 26015, 26434, 28567]",35525,0,72,Gyrocopter,False,11,3,13.135986904761905,66,432,61,14,"[0, 2, 5, 9, 12, 14, 18, 28, 38, 46, 61, 73, 86, 99, 105, 115, 133, 141, 141, 151, 175, 189, 191, 208, 215, 239, 254, 268, 280, 289, 298, 307, 326, 347, 357, 366, 372, 386, 389, 389, 389, 398, 404, 415]",CleanMike,63.0,1,35.29258,17725,1,3953,1156,"[0, 207, 515, 755, 916, 1156, 1515, 2190, 2854, 3405, 3953, 4341, 4780, 5428, 5893, 6397, 7056, 7617, 7736, 8633, 10191, 11265, 11506, 12239, 12594, 13732, 14481, 16028, 17089, 17444, 20783, 21840, 22574, 23878, 24740, 25068, 26721, 27474, 28839, 28915, 28993, 30873, 31047, 34274]",20.94135355291542,12.84242953663751,15.271976094091176,4.742663171243555,2.0140666299469423,68.9484758895965,Gyrocopter_3,2.38,430.0,495.0,27,4.5,0.16391184573002754,0.9554794520547945,0.20813165537270087,0.30933333333333335,0.19855595667870035,0.24627349319507452
,,,22,281,0.0807692307692307,0.9730769230769232,0.0005494505494505,0.0005500550055005,0,0.371978021978022,0.3489010989010989,524,7,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1567,929,"[0, 151, 251, 351, 491, 929, 1053, 1159, 1265, 1371, 1567, 1712, 1818, 1978, 2536, 2642, 2811, 2917, 3113, 3413, 3626, 3731, 4038, 4195, 4442, 4626, 4848, 5356, 5731, 6050, 6776, 7484, 7842, 8045, 8353, 8583, 8910, 9201, 9607, 9720, 9874, 10632, 10752, 11806]",15727,0,48,Luna,False,7,3,13.135986904761905,31,24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 3, 3, 3, 4, 4, 5, 5, 5, 5, 6, 7, 7, 9, 11, 11, 11, 11, 14, 16, 16, 16, 16, 16, 16, 17, 18, 18, 23]",,,5,31.178812,3466,1,1344,898,"[0, 53, 190, 430, 618, 898, 940, 1011, 1025, 1163, 1344, 1536, 1588, 1923, 2815, 2871, 3361, 3494, 3780, 4460, 5303, 6223, 7952, 8332, 8753, 8865, 9018, 9841, 10274, 10650, 12124, 13181, 13376, 14576, 14699, 14779, 15007, 15122, 15720, 15796, 16209, 18089, 18291, 20907]",19.378087334518867,0.0,0.9492455418381345,1.2445054945054943,3.0294361772480642,37.73726145287247,Luna_3,2.41,464.0,540.0,29,4.142857142857143,0.1659779614325069,0.8796477495107632,0.2245885769603098,0.12488888888888888,0.21660649819494585,0.169799092676604
,,,25,431,0.2649082568807339,0.7064220183486238,0.4954128440366973,0.5666666666666667,41,0.5126146788990825,0.7419724770642202,605,6,6,6,4,"[0, 1, 1, 1, 2, 4, 4, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",3454,1835,"[0, 448, 622, 951, 1441, 1835, 2236, 2427, 2732, 2925, 3454, 3926, 4422, 5006, 5663, 5976, 6486, 6828, 7024, 7590, 7803, 8024, 8331, 8783, 9327, 9728, 9990, 10470, 11337, 11913, 12511, 13368, 13952, 14181, 14517, 14927, 15203, 15459, 16121, 16233, 16556, 17147, 17267, 18312]",37658,0,22,Zeus,False,7,2,9.932433333333332,69,183,41,21,"[0, 1, 3, 9, 13, 21, 24, 26, 31, 33, 41, 47, 55, 66, 68, 73, 82, 88, 88, 98, 98, 101, 101, 108, 115, 121, 122, 127, 135, 141, 147, 149, 155, 160, 165, 165, 166, 169, 169, 169, 173, 176, 176, 182]",HnTy_Distro,41.0,2,12.47309,889,1,4369,1959,"[0, 196, 614, 1000, 1449, 1959, 2756, 3027, 3440, 3607, 4369, 4937, 5655, 6284, 7194, 7526, 8015, 8368, 8402, 8716, 8754, 9037, 9079, 9712, 10241, 10666, 10913, 11694, 12364, 12742, 14175, 15232, 15626, 15853, 16177, 18761, 18995, 19198, 20563, 20639, 20849, 22702, 22876, 25533]",14.804300305849175,4.4614048986552195,5.610209928135767,3.713380094172942,2.826227429481052,41.347955989627486,Zeus_2,4.23,458.0,575.0,32,5.333333333333333,0.2913223140495868,1.1324200913242009,0.22168441432720232,0.19155555555555556,0.23064580826313677,0.19604666234607906
,,,22,518,0.5891891891891892,0.5747747747747748,0.5315315315315315,0.2585895117540687,31,0.7837837837837838,0.8864864864864865,616,5,5,5,0,"[0, 0, 0, 0, 0, 0, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",2523,1058,"[0, 151, 327, 628, 837, 1058, 1445, 1640, 1986, 2104, 2523, 3447, 3593, 4110, 4935, 5211, 5781, 6167, 6600, 6864, 7186, 7483, 8626, 9009, 9293, 9517, 9859, 10295, 10792, 11423, 12473, 13260, 14009, 14807, 15438, 16274, 16815, 17685, 18692, 18804, 19412, 20308, 20477, 21860]",29470,2305,55,Dark Seer,False,7,1,4.420158333333333,50,250,31,11,"[0, 0, 1, 6, 8, 11, 18, 20, 25, 25, 31, 43, 44, 53, 65, 71, 83, 89, 94, 94, 98, 106, 114, 120, 121, 121, 122, 125, 126, 133, 146, 154, 162, 180, 190, 192, 197, 215, 218, 218, 223, 226, 229, 241]",TT,54.0,3,26.244825,2349,1,3283,1110,"[0, 70, 117, 435, 834, 1110, 1626, 2084, 2730, 2923, 3283, 4801, 5159, 5515, 6285, 6775, 7519, 8006, 8353, 8780, 9623, 9905, 11634, 11886, 12247, 12408, 12599, 13494, 14020, 14214, 15803, 16785, 17227, 17893, 18276, 18390, 18972, 19584, 20936, 21012, 21406, 23272, 23418, 26051]",22.5,14.172297297297296,12.429872168549693,4.797235164839939,3.3093902636852106,61.62895322770547,Dark Seer_1,2.61,373.0,443.0,29,5.8,0.17975206611570246,1.2315068493150685,0.18054211035818005,0.23022222222222222,0.1776975531488167,0.19961114711600778
