assists,benchmarks.gold_per_min.raw,benchmarks.hero_damage_per_min.pct,benchmarks.hero_healing_per_min.pct,benchmarks.last_hits_per_min.pct,benchmarks.lhten.pct,benchmarks.lhten.raw,benchmarks.stuns_per_min.pct,benchmarks.tower_damage.pct,benchmarks.xp_per_min.raw,core_dn_10,core_dn_5,core_gold_10,core_gold_5,core_lh_10,core_lh_5,core_xp_10,core_xp_5,deaths,denies,dn_10,dn_5,dn_t,gold_10,gold_5,gold_t,hero_damage,hero_healing,hero_id,hero_name,isRadiant,kills,lane,lane_advantage,lane_efficiency_pct,last_hits,lh_10,lh_5,lh_t,personaname,rank_tier,role,stuns,support_dn_10,support_dn_5,support_gold_10,support_gold_5,support_lh_10,support_lh_5,support_xp_10,support_xp_5,tower_damage,win,xp_10,xp_5,xp_t,combat_advantage,hd_advantage,farm_advantage,td_advantage,utility_advantage,total_advantage,kda_lookup_value,hero_lane_kda,hero_lane_gpm,hero_lane_xpm,ka,kda,expected_kda_ratio,kda_ratio,expected_gpm_ratio,gpm_ratio,expected_xpm_ratio,xpm_ratio
9,355,0.27781350482315115,0.7247588424437299,0.33440514469453375,0.22193548387096773,6,0.335048231511254,0.3691318327974277,417,10.333333333333334,5.0,3789.3333333333335,1572.6666666666667,60.333333333333336,20.666666666666668,4756.333333333333,1788.3333333333333,15,1,1,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1652,849,"[0, 180, 280, 574, 749, 849, 989, 1095, 1201, 1385, 1652, 1847, 2109, 2423, 2593, 3084, 3316, 3738, 4175, 4534, 5025, 5300, 5744, 6425, 7178, 7711, 8016, 8433, 9224, 9577, 9795, 9997, 10109, 10267, 10694, 11216, 11791, 12002, 12192, 12483, 12985, 13260, 13491, 14214, 14483, 15090, 15854, 16088, 16403, 17481, 17886, 18150]",21388,0,25,Lina,True,7,2,13.945859523809524,33,156,6,1,"[0, 0, 0, 0, 1, 1, 4, 4, 4, 6, 6, 6, 9, 11, 13, 13, 13, 13, 16, 17, 22, 22, 28, 29, 31, 36, 38, 44, 53, 53, 55, 55, 55, 65, 72, 85, 86, 86, 89, 90, 99, 99, 107, 121, 124, 134, 141, 145, 147, 156, 156, 156]",Agony-,55.0,4,59.84478,1.0,1.0,1864.0,1087.0,7.5,2.5,1722.5,987.5,1176,0,1208,887,"[0, 56, 238, 460, 732, 887, 972, 1047, 1089, 1190, 1208, 1228, 2554, 2845, 3008, 3759, 3902, 4480, 6062, 6409, 7077, 7977, 8325, 9509, 9726, 10382, 10481, 10770, 11018, 11074, 11367, 11460, 11522, 12548, 13239, 13729, 14514, 14586, 14785, 15027, 15304, 15384, 15546, 15850, 16121, 17650, 18107, 18408, 19105, 20972, 21094, 21194]",0.7407407407407407,2.222668810289389,2.4028774490853486,1.3780497572136245,5.660322047312914,26.35051832845154,Lina_2,2.77,511.0,604.0,16,1.0666666666666667,0.18665768194070081,0.06077048290830168,0.2143456375838926,0.14126541981695184,0.21104122990915444,0.1201036866359447
22,355,0.39975624619134675,0.9335770871419866,0.708714198659354,0.6288156288156288,9,0.4625228519195612,0.558805606337599,563,10.333333333333334,5.0,3789.3333333333335,1572.6666666666667,60.333333333333336,20.666666666666668,4756.333333333333,1788.3333333333333,15,4,1,1,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]",2076,1325,"[0, 217, 511, 611, 929, 1325, 1459, 1600, 1727, 1870, 2076, 2562, 2843, 3131, 3291, 3634, 4318, 4532, 4987, 5566, 5772, 6265, 6728, 7128, 7821, 8151, 8509, 8731, 8925, 9359, 9472, 9694, 10171, 10735, 11043, 11484, 11819, 12030, 12315, 12562, 12889, 13254, 13373, 14454, 14974, 15094, 15633, 16038, 16597, 17137, 17396, 18112]",23661,1116,123,Hoodwink,True,5,1,17.364764285714287,41,154,9,4,"[0, 1, 2, 2, 3, 4, 5, 7, 7, 8, 9, 10, 14, 17, 18, 22, 33, 33, 37, 43, 45, 46, 46, 48, 48, 54, 57, 57, 57, 60, 63, 67, 71, 78, 83, 84, 85, 85, 91, 91, 95, 100, 101, 114, 122, 122, 125, 135, 143, 144, 148, 154]",,,5,79.21526,1.0,1.0,1864.0,1087.0,7.5,2.5,1722.5,987.5,807,0,2237,1088,"[0, 56, 277, 461, 745, 1088, 1195, 1380, 1545, 1887, 2237, 2498, 3227, 3470, 3700, 4161, 5096, 5511, 6022, 6570, 6828, 7274, 7841, 9050, 10078, 11021, 11726, 11936, 11990, 12393, 12530, 12590, 14084, 16265, 16497, 18998, 19653, 19725, 19917, 20366, 20607, 21032, 21169, 21654, 22443, 22531, 22845, 23152, 23616, 25496, 25739, 30370]",5.53265602322206,4.845443396972377,9.009906237488886,2.800603058764909,8.968926670022302,48.522299672184815,Hoodwink_1,3.18,358.0,524.0,27,1.8,0.2142857142857143,0.10255018990775908,0.15016778523489932,0.14126541981695184,0.18308874912648498,0.16215437788018433
12,518,0.8037974683544303,0.759493670886076,0.6139240506329114,0.5949367088607594,40,0.23417721518987342,0.8037974683544303,815,10.333333333333334,5.0,3789.3333333333335,1572.6666666666667,60.333333333333336,20.666666666666668,4756.333333333333,1788.3333333333333,5,14,12,4,"[0, 2, 3, 3, 4, 4, 7, 11, 12, 12, 12, 12, 12, 12, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",3151,1237,"[0, 218, 425, 756, 1024, 1237, 1563, 1752, 2171, 2688, 3151, 3901, 4524, 4866, 5102, 5771, 6070, 6749, 7753, 8520, 9133, 9877, 10903, 11839, 13050, 13392, 14000, 14465, 15640, 16671, 16825, 17027, 17794, 18054, 18356, 19117, 19578, 19938, 20241, 20734, 21158, 21433, 21552, 21987, 22473, 23380, 24189, 24673, 25249, 25939, 26181, 26445]",41260,0,92,Visage,True,21,3,12.688243452380952,63,242,40,11,"[0, 1, 4, 5, 8, 11, 17, 19, 26, 32, 40, 53, 61, 69, 71, 75, 76, 86, 95, 104, 106, 110, 116, 118, 119, 127, 131, 134, 140, 144, 146, 146, 148, 157, 164, 169, 175, 181, 185, 190, 191, 191, 191, 191, 196, 206, 215, 229, 233, 240, 242, 242]",Violet Vegetablegarden,61.0,3,27.180542,1.0,1.0,1864.0,1087.0,7.5,2.5,1722.5,987.5,9075,0,4454,1383,"[0, 56, 386, 722, 1050, 1383, 1769, 2295, 2967, 3904, 4454, 5186, 6073, 6431, 6654, 7518, 7548, 8598, 9810, 10257, 11416, 12363, 14066, 16312, 17340, 17388, 18249, 18546, 22964, 24606, 24743, 24803, 26564, 26794, 27087, 28479, 29321, 29984, 30587, 31125, 31308, 31662, 31762, 32176, 32980, 34480, 35235, 35776, 36409, 38297, 38395, 38495]",23.61111111111111,13.797468354430379,12.578098117764448,4.518987341772151,4.912123097416704,72.10603147487575,Visage_3,2.64,381.0,461.0,33,6.6,0.17789757412398924,0.3760173629951166,0.15981543624161074,0.20612813370473537,0.1610761705101328,0.23473502304147464
19,582,0.4015151515151515,0.8617424242424242,0.4034090909090909,0.7661596958174905,77,0.9403409090909091,0.5037878787878788,869,10.333333333333334,5.0,3789.3333333333335,1572.6666666666667,60.333333333333336,20.666666666666668,4756.333333333333,1788.3333333333333,7,11,10,7,"[0, 1, 4, 5, 5, 7, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11]",4451,1729,"[0, 249, 543, 788, 1349, 1729, 2081, 2492, 2921, 3526, 4451, 5155, 5825, 6514, 6823, 7509, 7822, 8247, 8735, 9087, 9779, 10509, 11632, 12380, 13507, 14024, 14218, 15025, 16133, 17012, 17271, 17473, 17760, 18883, 19567, 20137, 20594, 20805, 21069, 21502, 22423, 23032, 23388, 24084, 24551, 24986, 25860, 26366, 27247, 28609, 29334, 29726]",33856,0,46,Templar Assassin,True,11,2,13.945859523809524,89,380,77,28,"[0, 2, 7, 11, 21, 28, 35, 45, 54, 60, 77, 89, 101, 112, 115, 120, 123, 128, 133, 136, 152, 162, 180, 180, 195, 196, 196, 214, 223, 233, 236, 236, 236, 249, 259, 262, 266, 266, 271, 278, 292, 297, 305, 314, 321, 325, 341, 349, 365, 376, 376, 380]",,,2,7.7597656,1.0,1.0,1864.0,1087.0,7.5,2.5,1722.5,987.5,6418,0,6230,2370,"[0, 297, 893, 1228, 1820, 2370, 2969, 3557, 4068, 4882, 6230, 7074, 7896, 8711, 9087, 9726, 9879, 10353, 12038, 12433, 13831, 14783, 16634, 17713, 18741, 19502, 19563, 20404, 22244, 24424, 24561, 24621, 25953, 28572, 29154, 30443, 31100, 31172, 31516, 32175, 32452, 32702, 33164, 33679, 34173, 35719, 36421, 37276, 38316, 40196, 42283, 42383]",17.433719748324332,6.773885727037193,11.72431887568282,2.387970102142008,4.480682504781491,56.746436481777366,Templar Assassin_2,3.17,553.0,651.0,30,4.285714285714286,0.21361185983827494,0.2441671188279978,0.23196308724832215,0.23159570234779148,0.22746331236897274,0.2502880184331797
16,703,0.6765027322404371,0.9721311475409836,0.8688524590163934,0.78039430449069,64,0.7049180327868853,0.5453551912568306,808,10.333333333333334,5.0,3789.3333333333335,1572.6666666666667,60.333333333333336,20.666666666666668,4756.333333333333,1788.3333333333333,5,12,9,4,"[0, 0, 0, 1, 4, 4, 4, 5, 7, 8, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",3766,1752,"[0, 267, 647, 958, 1340, 1752, 1943, 2324, 2767, 3188, 3766, 4056, 4726, 5037, 5715, 6394, 7279, 7855, 8255, 8943, 9049, 10018, 11204, 11954, 13020, 14277, 14892, 15651, 17030, 17429, 17975, 18505, 19264, 20762, 21761, 22812, 23912, 24957, 25938, 26787, 27119, 28024, 28143, 28578, 29964, 30259, 32251, 32860, 33614, 34591, 35050, 35902]",44832,0,48,Luna,True,3,1,17.364764285714287,76,627,64,23,"[0, 2, 5, 10, 16, 23, 25, 32, 43, 53, 64, 67, 89, 97, 110, 120, 147, 157, 168, 180, 180, 195, 217, 231, 234, 257, 267, 279, 299, 299, 311, 319, 334, 358, 385, 405, 444, 478, 499, 507, 509, 524, 524, 524, 556, 560, 594, 604, 615, 626, 627, 627]",,,1,49.645897,1.0,1.0,1864.0,1087.0,7.5,2.5,1722.5,987.5,10683,0,3585,1612,"[0, 125, 460, 770, 1111, 1612, 1915, 2195, 2697, 3142, 3585, 3757, 4736, 5104, 5905, 6819, 7988, 8730, 9191, 10009, 10047, 11163, 12393, 13831, 14859, 16507, 17489, 18002, 22124, 22180, 22636, 23467, 24323, 26307, 27114, 27968, 29054, 30071, 30862, 31832, 32073, 32611, 32693, 33059, 34591, 34902, 36194, 37260, 38007, 39887, 41941, 43948]",13.408345186695701,15.367247624702367,16.612799661653618,2.6997249456591463,4.240562826410044,69.69344453083517,Luna_1,3.08,581.0,622.0,19,3.8,0.20754716981132076,0.21649484536082472,0.24370805369127516,0.27974532431356947,0.21733053808525507,0.23271889400921658
28,399,0.8242894056847545,0.6950904392764858,0.8742463393626184,0.9250645994832042,18,0.3298880275624462,0.9026701119724375,582,3.3333333333333335,3.3333333333333335,2940.3333333333335,1253.6666666666667,45.666666666666664,17.666666666666668,3139.6666666666665,1298.0,12,2,2,1,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2099,813,"[0, 180, 364, 464, 641, 813, 1007, 1158, 1390, 1679, 2099, 2242, 2385, 2545, 2741, 2847, 3374, 3686, 4022, 4315, 4568, 4729, 4874, 4986, 5098, 5495, 5836, 6435, 7016, 7128, 8026, 8734, 9220, 9923, 10232, 10507, 11153, 11865, 11977, 12089, 13167, 14749, 15136, 15544, 15763, 15883, 16002, 16122, 16987, 18274, 19645, 20361]",26973,1280,121,Grimstroke,False,1,1,7.635235714285713,42,146,18,5,"[0, 0, 2, 2, 3, 5, 7, 7, 10, 14, 18, 18, 19, 19, 19, 19, 21, 26, 30, 31, 33, 34, 35, 35, 35, 41, 46, 50, 50, 50, 55, 56, 60, 68, 70, 75, 79, 90, 90, 90, 106, 117, 118, 118, 118, 118, 118, 118, 136, 143, 145, 146]",,,4,19.533278,2.5,1.5,2011.5,845.0,15.5,5.5,2501.0,1019.5,1737,1,2409,993,"[0, 90, 415, 627, 754, 993, 1428, 1572, 1883, 2216, 2409, 2563, 2707, 2927, 3386, 3726, 5133, 5493, 6301, 6777, 6868, 7115, 7312, 8269, 8315, 8834, 9262, 10122, 11127, 11127, 13437, 15273, 15332, 16187, 16408, 16518, 19558, 20383, 20495, 20589, 22044, 24558, 25569, 25794, 26546, 26616, 26616, 27721, 27937, 29370, 31856, 32105]",10.539370435859539,14.053617571059432,12.615306237370767,4.913566921637266,5.657841742848326,55.41493862306105,Grimstroke_1,2.45,327.0,456.0,29,2.4166666666666665,0.17180925666199162,0.13405238828967642,0.16220238095238096,0.1612772837510105,0.17404580152671756,0.19271523178807948
18,705,0.4486652977412731,0.9599589322381931,0.8336755646817249,0.919917864476386,62,0.2135523613963039,0.8521560574948666,696,3.3333333333333335,3.3333333333333335,2940.3333333333335,1253.6666666666667,45.666666666666664,17.666666666666668,3139.6666666666665,1298.0,6,4,3,3,"[0, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3127,1096,"[0, 180, 429, 641, 894, 1096, 1580, 1983, 2336, 2797, 3127, 3588, 4245, 4791, 5165, 5838, 6661, 6984, 7675, 8487, 9005, 9451, 10255, 10614, 11601, 12608, 12867, 13526, 14817, 15113, 16295, 17172, 18007, 18833, 19498, 20061, 20892, 22268, 22900, 23128, 23471, 24395, 25554, 26078, 27041, 28057, 28476, 29602, 30446, 32080, 34464, 35997]",28539,0,42,Wraith King,False,12,3,12.311756547619048,63,483,62,14,"[0, 0, 4, 7, 10, 14, 20, 30, 39, 55, 62, 72, 86, 100, 107, 125, 137, 143, 161, 170, 176, 187, 206, 209, 209, 224, 229, 234, 238, 244, 255, 261, 273, 286, 297, 305, 310, 333, 353, 356, 359, 360, 374, 377, 385, 405, 410, 431, 447, 454, 465, 482]",,,1,38.42036,2.5,1.5,2011.5,845.0,15.5,5.5,2501.0,1019.5,13415,1,3271,1012,"[0, 31, 201, 478, 778, 1012, 1428, 1842, 2234, 2914, 3271, 3764, 4481, 5012, 5279, 6151, 6658, 6866, 7785, 8715, 8984, 9558, 10483, 10633, 12033, 12934, 13080, 13863, 16356, 16943, 19234, 20200, 20626, 21019, 21573, 22319, 22597, 24354, 25259, 25395, 26319, 28355, 29396, 29715, 30615, 31334, 31605, 32540, 33157, 35996, 41042, 43922]",21.151037595734874,8.73406586124762,18.931722922018622,4.548062072917672,2.1333115698740546,67.80995656941188,Wraith King_3,3.07,451.0,546.0,30,5.0,0.2152875175315568,0.2773497688751926,0.22371031746031747,0.2849636216653193,0.2083969465648855,0.2304635761589404
16,397,0.23190348525469168,0.8552278820375335,0.07640750670241286,0.10187667560321716,23,0.306970509383378,0.6420911528150134,576,3.3333333333333335,3.3333333333333335,2940.3333333333335,1253.6666666666667,45.666666666666664,17.666666666666668,3139.6666666666665,1298.0,14,2,2,2,"[0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2154,1078,"[0, 259, 428, 680, 859, 1078, 1338, 1575, 1731, 1875, 2154, 2553, 2780, 3218, 3569, 3675, 4312, 4597, 4760, 5525, 5721, 5827, 6067, 6179, 6549, 7454, 7623, 7735, 8697, 8809, 10151, 10906, 11528, 11820, 12022, 12134, 13005, 13746, 13858, 13970, 14536, 15092, 15719, 16275, 16785, 17021, 17544, 17664, 17784, 17957, 18984, 20275]",24743,240,126,Void Spirit,False,9,1,7.635235714285713,43,141,23,12,"[0, 2, 4, 8, 9, 12, 16, 18, 18, 19, 23, 25, 28, 33, 39, 39, 42, 45, 45, 56, 56, 56, 59, 59, 59, 59, 64, 64, 64, 64, 68, 75, 81, 81, 81, 81, 81, 98, 98, 98, 100, 100, 105, 112, 120, 125, 134, 134, 134, 134, 134, 141]",blessed,62.0,3,0.0,2.5,1.5,2011.5,845.0,15.5,5.5,2501.0,1019.5,1696,1,1867,816,"[0, 90, 232, 444, 634, 816, 1018, 1219, 1353, 1426, 1867, 2855, 2999, 3769, 4392, 4439, 5193, 5637, 5728, 6715, 6809, 6887, 7027, 7099, 8519, 10953, 11054, 11106, 14102, 14102, 16551, 17517, 18015, 18221, 18221, 18221, 20387, 20791, 20952, 20952, 21499, 23535, 24526, 24850, 25688, 25832, 26397, 26725, 26818, 27060, 30740, 33734]",4.179501095047559,1.6487935656836459,3.945752464777342,2.972575287818773,6.515109790870161,26.896967918483192,Void Spirit_1,2.95,428.0,590.0,25,1.7857142857142858,0.2068723702664797,0.09905348888399736,0.2123015873015873,0.16046887631366208,0.22519083969465647,0.19072847682119207
25,346,0.22123893805309736,0.7825537294563844,0.8369152970922883,0.9403553299492385,13,0.9279393173198482,0.6283185840707964,470,3.3333333333333335,3.3333333333333335,2940.3333333333335,1253.6666666666667,45.666666666666664,17.666666666666668,3139.6666666666665,1298.0,9,3,3,2,"[0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1924,877,"[0, 180, 384, 519, 705, 877, 1064, 1250, 1570, 1676, 1924, 2067, 2320, 2616, 2980, 3086, 3679, 3830, 3993, 4241, 4693, 4840, 4946, 5058, 5428, 6120, 6333, 6558, 7076, 7188, 8517, 9283, 9640, 10103, 10305, 10417, 11176, 11566, 11678, 11790, 12520, 13262, 13810, 14218, 14891, 15179, 15560, 15831, 15951, 16508, 16628, 17672]",14234,728,87,Disruptor,False,3,3,12.311756547619048,38,94,13,6,"[0, 0, 1, 2, 4, 6, 7, 8, 11, 11, 13, 13, 14, 16, 16, 16, 17, 17, 17, 19, 21, 22, 22, 22, 22, 22, 23, 23, 23, 23, 24, 27, 27, 32, 32, 32, 34, 39, 39, 39, 46, 50, 56, 56, 64, 68, 73, 76, 76, 82, 82, 94]",:(,55.0,5,0.0,2.5,1.5,2011.5,845.0,15.5,5.5,2501.0,1019.5,377,1,2593,1046,"[0, 31, 257, 522, 669, 1046, 1435, 1680, 2111, 2245, 2593, 2747, 2950, 3366, 3806, 3853, 5150, 5281, 5723, 6050, 6844, 7091, 7133, 7213, 8633, 9910, 10025, 10576, 12091, 12091, 14559, 15055, 15162, 15506, 15802, 15908, 18153, 18429, 18582, 18718, 19442, 21478, 21729, 21823, 22660, 22860, 23054, 23323, 23358, 23507, 23507, 23920]",13.921243932377772,1.5154867256637168,11.075382117321837,2.8692810222371454,13.818686306710696,55.51183665193022,Disruptor_3,2.5,304.0,408.0,28,3.111111111111111,0.17531556802244042,0.17257318952234205,0.15079365079365079,0.13985448666127728,0.15572519083969466,0.15562913907284767
18,627,0.6385927505330491,0.8081023454157783,0.3763326226012793,0.39701173959445035,52,0.6748400852878464,0.6609808102345416,696,3.3333333333333335,3.3333333333333335,2940.3333333333335,1253.6666666666667,45.666666666666664,17.666666666666668,3139.6666666666665,1298.0,7,9,5,5,"[0, 0, 0, 1, 2, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",3540,1587,"[0, 297, 558, 898, 1261, 1587, 1928, 2363, 2876, 3292, 3540, 4498, 4799, 5272, 5783, 6053, 7407, 8251, 8758, 9025, 10081, 10543, 11173, 11831, 11943, 13010, 13295, 13821, 14962, 15074, 15996, 17161, 17752, 18044, 18695, 18807, 20302, 20649, 21029, 21172, 21532, 22309, 23245, 24550, 24988, 25108, 25649, 26560, 27111, 28303, 30794, 32003]",39920,0,17,Storm Spirit,False,22,2,11.054140476190476,71,299,52,27,"[0, 3, 7, 13, 20, 27, 34, 43, 49, 50, 52, 65, 71, 74, 77, 83, 87, 105, 109, 112, 123, 132, 132, 133, 133, 137, 142, 151, 157, 157, 157, 161, 167, 167, 178, 178, 185, 187, 196, 197, 199, 203, 216, 236, 242, 242, 250, 269, 279, 280, 294, 299]",,,2,59.570717,2.5,1.5,2011.5,845.0,15.5,5.5,2501.0,1019.5,3034,1,4281,2066,"[0, 211, 600, 1055, 1577, 2066, 2527, 3130, 3646, 4107, 4281, 5475, 5854, 6256, 7083, 7289, 8523, 9683, 10295, 10394, 11909, 12539, 13700, 15418, 15521, 18079, 18445, 19022, 20537, 20537, 22765, 23812, 23924, 23988, 24525, 24536, 26734, 27090, 27366, 27474, 28142, 28414, 29643, 30618, 31371, 31449, 31794, 32173, 32399, 35424, 39645, 42468]",24.23319459031302,14.669298760990621,11.706290134149823,3.114247718465234,3.752522407061302,68.52969408717048,Storm Spirit_2,3.29,506.0,620.0,40,5.714285714285714,0.2307152875175316,0.31697116442879153,0.2509920634920635,0.2534357316087308,0.2366412213740458,0.2304635761589404
