Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Spectre,0.9101,0.5416,4.28,520.0,605.0,1
Anti-Mage,0.8937999999999999,0.4913,3.03,608.0,656.0,1
Slark,0.8529000000000001,0.4925,3.1,509.0,609.0,1
Juggernaut,0.8437,0.5079,3.25,551.0,614.0,1
Terrorblade,0.843,0.4982,2.8,567.0,574.0,1
Phantom Lancer,0.8223999999999999,0.4987,3.1,521.0,604.0,1
Luna,0.8072,0.537,3.1,583.0,626.0,1
Sven,0.7888,0.521,2.91,550.0,611.0,1
Phantom Assassin,0.7247,0.49810000000000004,3.08,516.0,603.0,1
Disruptor,0.7225,0.4984,2.45,296.0,392.0,1
Oracle,0.7212999999999999,0.4673,2.5,288.0,399.0,1
Witch Doctor,0.7172,0.5041,2.15,305.0,407.0,1
Crystal Maiden,0.7005,0.5335,2.12,312.0,410.0,1
Troll Warlord,0.6998000000000001,0.5031,2.83,518.0,601.0,1
Warlock,0.6951999999999999,0.5312,2.66,318.0,416.0,1
Drow Ranger,0.6947,0.5406,2.86,511.0,576.0,1
Dazzle,0.6899,0.5161,2.23,291.0,389.0,1
Gyrocopter,0.6890999999999999,0.46799999999999997,3.01,529.0,578.0,1
Ancient Apparition,0.6855,0.5156000000000001,2.72,316.0,402.0,1
Shadow Shaman,0.6851,0.5166,1.79,318.0,402.0,1
Lion,0.0,0.4964299193826755,2.903581611446016,489.83620946888976,574.7537368138552,1
Lifestealer,0.0,0.5060719581244879,2.519226108340374,413.6227925340736,510.11431182432466,1
Ursa,0.0,0.4949076629217082,2.3386219757424453,324.6166533445441,438.13711497016305,1
Bane,0.0,0.5139376689048891,2.7725395772383696,415.98117567704793,507.58991433206234,1
Jakiro,0.0,0.5166270267792988,2.4548055072646346,375.5268883149968,459.895651787464,1
Morphling,0.0,0.5223446909728927,2.710324571055215,440.16231438363997,519.0483132683016,1
Lich,0.0,0.499467200404564,2.9028052851024,471.9333330309902,552.4647912176512,1
Faceless Void,0.0,0.49830337551409914,2.6556599086277215,410.7540616709533,513.3463174691063,1
Shadow Demon,0.0,0.5048949179888382,2.769333748347287,436.14675260480124,524.7884110691093,1
Winter Wyvern,0.0,0.5006737385504376,2.786595185506642,444.2853226712723,530.0519442552967,1
Chaos Knight,0.0,0.4891797744557766,2.87327999419145,432.8729693753535,533.1511866338219,1
Naga Siren,0.0,0.49469591329428286,2.60166196560717,406.56782536214575,496.589527025804,1
Vengeful Spirit,0.0,0.4987874382815375,2.7895839567634426,422.29953068603174,517.1635728917151,1
Wraith King,0.0,0.49690467078860273,2.942149887340008,438.68710016479906,542.7023335546808,1
Ogre Magi,0.0,0.511678046748126,2.8797997118987206,464.1729246382635,547.6633377880665,1
Grimstroke,0.0,0.5074636851012566,2.700517604787841,409.7478438495724,507.0218661888683,1
Keeper of the Light,0.0,0.495893978759462,2.6286356684634895,402.9395422719186,496.4241044745957,1
Rubick,0.0,0.5214728694446843,3.303336328366246,448.16285449553015,543.9632560260627,1
Medusa,0.0,0.5122405932655033,2.8498560954527674,394.4150639063574,483.51430200205385,1
Io,0.0,0.47996766110070926,2.553519545539561,407.36690796211,497.0485131985144,1
Omniknight,0.0,0.5070903900527892,2.7822184638126757,419.10935610862725,514.4876403182545,1
Treant Protector,0.0,0.49895117125582733,2.774708855670031,443.39916739155615,535.4577741344687,1
Silencer,0.0,0.508346135476014,2.656247888614601,405.4478070587264,508.56863687736274,1
Lycan,0.0,0.5048667323544007,2.8120514024613366,409.62659180574053,507.8453765817026,1
Monkey King,0.0,0.4897204750514716,2.343853409190622,375.87686760154423,470.1437333845261,1
Dark Willow,0.0,0.4984525567999029,2.9553467001448337,437.3760630399844,537.0969893297273,1
Clinkz,0.0,0.5029483664884579,2.7270168453341173,391.42544700058795,478.93059634450316,1
Weaver,0.0,0.5106186710265609,2.630246137767425,411.56653684560166,498.23034219497305,1
Skywrath Mage,0.0,0.5137159779313593,2.7269720016460357,381.98392078549034,473.96156495741707,1
Snapfire,0.0,0.4977495374531437,2.5136162651612723,401.5820485434218,495.14411236098766,1
Elder Titan,0.0,0.4938985180432071,2.695641126601189,426.17939237113313,518.1717988856717,1
Abaddon,0.0,0.4988244337979858,2.851239658311252,429.8236383885408,522.5413357513455,1
Venomancer,0.0,0.5063758864264732,2.9659319186199467,440.9621323912408,533.1500396664574,1
Visage,0.0,0.5066284633545491,2.5982390926893224,394.75151812664046,486.1679309950309,1
Riki,0.0,0.5009647889069584,2.7807806330664357,436.40784156767194,528.7006570809133,1
Pugna,0.0,0.5024606145594142,2.7957102193388104,427.27953050336265,515.6402267629816,1
Earthshaker,0.0,0.49670774110299215,2.88567282020513,447.5829735251813,552.3908839357142,1
Razor,0.0,0.5028522938399321,2.8775358097724184,433.92946512514146,535.7142221216861,1
Alchemist,0.0,0.5188113046241647,3.0295486179046764,478.6057268916696,555.1763417671381,1
Chen,0.0,0.510976844349244,2.870060920109283,427.00844111763394,517.4425041031925,1
Huskar,0.0,0.5104306098764211,2.5332442130943456,343.2761175943809,440.8939605261692,1
Bloodseeker,0.0,0.5090954192847231,2.63475854975296,393.9102004918656,487.2343511087059,1
Undying,0.0,0.49994866614014016,2.7289105147032044,444.7637746607729,528.2778806718385,1
Arc Warden,0.0,0.5066928527186162,2.847418605171996,411.2442382534251,495.5934143462341,1
Lone Druid,0.0,0.5061997764835581,2.614556046959216,392.6349782226649,486.54991371024454,1
Sniper,0.0,0.5089093364795079,2.7187971176652135,400.29215420092277,495.7282681654271,1
Lina,0.0,0.48124336335639833,2.650822799044262,415.8285564141473,499.30715006435014,1
Pudge,0.0,0.5124120944225188,2.563231521416783,394.9452063052341,490.3335270680628,1
Hoodwink,0.0,0.500717188616705,2.8299052950312666,442.33237321977697,535.6186099761533,1
Leshrac,0.0,0.5047191692926852,2.744762490806782,416.911154860952,510.8299052247315,1
Tiny,0.0,0.5115383173025034,2.6477389050484574,395.5909934580264,486.85831256198566,1
Ember Spirit,0.0,0.4903828156281072,2.6512381513098413,396.14376254103763,494.9569267009091,1
Earth Spirit,0.0,0.5148619544282492,3.307109293554231,460.8103296377226,555.6666037934907,1
Necrophos,0.0,0.49230776569924883,2.6577575863424703,442.8758859764951,508.6261926839379,1
Phoenix,0.0,0.510729263250205,2.750014440593783,372.63566129700496,464.56494253419584,1
