Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Spectre,0.91,0.5417000000000001,4.28,520.0,605.0,1
Anti-Mage,0.8937999999999999,0.4913,3.03,608.0,656.0,1
Slark,0.8527,0.4924,3.1,509.0,609.0,1
Juggernaut,0.8436,0.5079,3.25,551.0,614.0,1
Terrorblade,0.843,0.4982,2.8,567.0,574.0,1
Phantom Lancer,0.8220999999999999,0.4987,3.1,521.0,604.0,1
Luna,0.8070999999999999,0.537,3.1,583.0,626.0,1
Sven,0.7886,0.5209,2.91,550.0,611.0,1
Phantom Assassin,0.7245,0.4982,3.08,516.0,603.0,1
Disruptor,0.7223999999999999,0.4984,2.45,296.0,392.0,1
Oracle,0.7211,0.4673,2.5,288.0,399.0,1
Witch Doctor,0.7172,0.5041,2.15,305.0,407.0,1
Crystal Maiden,0.7004,0.5336,2.12,312.0,410.0,1
Troll Warlord,0.6997,0.5031,2.83,518.0,601.0,1
Warlock,0.6951999999999999,0.5312,2.66,318.0,416.0,1
Drow Ranger,0.6945,0.5407,2.86,511.0,576.0,1
Dazzle,0.6899,0.5161,2.23,291.0,389.0,1
Gyrocopter,0.6889,0.4681,3.01,529.0,578.0,1
Ancient Apparition,0.6855,0.5156000000000001,2.72,316.0,402.0,1
Shadow Shaman,0.6851,0.5166,1.79,318.0,402.0,1
Lion,0.0,0.4942412814062512,2.816900000278751,494.36655826535724,573.1337473970457,1
Lifestealer,0.0,0.5071068663870922,2.4992007808261554,419.2485089883533,516.73588942185,1
Ursa,0.0,0.494909604826735,2.3379717467247754,324.06096593297553,437.90537492292196,1
Bane,0.0,0.4930744261430571,2.582146003937009,403.6457124540757,495.4166545469157,1
Jakiro,0.0,0.5189834582295255,2.526249477328231,371.96143594455225,460.5545809183527,1
Morphling,0.0,0.5136278655937683,2.7417996974818735,440.0584420928865,521.7634887566137,1
Lich,0.0,0.4980732726391054,2.9401794928767404,488.14306878560336,565.9729367415564,1
Faceless Void,0.0,0.49385094870481056,2.728341641772143,419.9042857509806,525.8053962571863,1
Shadow Demon,0.0,0.5021679732048454,2.8028229067494648,441.56340121148753,525.9962373424254,1
Winter Wyvern,0.0,0.5033165113313414,2.8262862105666935,439.8351380840282,527.6459196288058,1
Chaos Knight,0.0,0.4883868134825029,2.7499791891695406,429.06984816541086,524.0195428149251,1
Naga Siren,0.0,0.4931205388838543,2.6033775845022027,410.0074719885401,499.3478799592678,1
Vengeful Spirit,0.0,0.498789658415002,2.633854928524637,409.3630194694597,501.8473077435842,1
Wraith King,0.0,0.5000392218615605,2.9576056454158475,438.80283187885624,544.7831823331431,1
Ogre Magi,0.0,0.5080859500536004,2.8940999020165665,473.658195560578,553.8742048261932,1
Grimstroke,0.0,0.5078786327523337,2.671374986621384,407.07141848837676,502.3759012677983,1
Keeper of the Light,0.0,0.4954414682625262,2.7157827642734977,440.283855559298,528.715417297354,1
Rubick,0.0,0.5048177751648079,3.1422629148557975,435.6832129023934,531.4294648188024,1
Medusa,0.0,0.5121740106218583,2.850499244626574,394.4984981273988,483.56293489040036,1
Io,0.0,0.4795649567348451,2.5528585604262664,407.74094279197107,497.1782034304938,1
Omniknight,0.0,0.5090640731833567,2.7598092802950602,414.0019040730441,507.0862238707501,1
Treant Protector,0.0,0.4957437027610597,2.860431331346486,460.90335623096,550.4094053237783,1
